bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
3847,0.023996770138891198,34,23,8,19,110,164
3848,0.012475527077317257,34,20,9,23,107,186
3849,0.020896286047688457,34,21,8,21,141,292
3850,0.026562921554348952,34,19,9,24,144,364
3851,0.013268284719351021,34,21,11,24,114,146
3852,0.009263659649031378,34,19,11,26,129,214
3853,0.02698814700959759,34,20,10,24,134,218
3854,0.014751301987006825,34,21,10,23,99,146
3855,0.010614385208599295,34,23,9,20,102,126
3856,0.009263659649031378,34,25,7,16,78,118
3857,0.02374812319425023,34,19,9,24,106,202
3858,0.020463713863234388,34,23,7,18,83,144
3859,0.01648116041896773,34,21,9,22,105,150
3860,0.025600029743348282,34,22,8,20,88,138
3861,0.020981046338022107,34,23,8,19,91,138
3862,0.013871150084271977,34,22,10,22,100,118
3863,0.013371727796373672,34,20,9,23,110,180
3864,0.012366829636155409,34,24,9,19,92,104
3865,0.010844968531849162,34,24,9,19,110,128
3866,0.02036576939432861,34,25,9,18,66,66
3867,0.012509276362126731,34,25,5,14,50,108
3868,0.019958655069708946,34,23,9,20,110,152
3869,0.01752088719862551,34,23,9,20,92,116
3870,0.01692048518246593,34,25,7,16,70,118
3871,0.011643430016760048,34,24,6,16,61,106
3872,0.02102807823818624,34,23,10,21,89,98
3873,0.026954175798082427,34,21,9,22,132,206
3874,0.022859874082551617,34,24,10,20,88,88
3875,0.015951519344914056,34,20,8,22,99,184
3876,0.010236226546462203,34,23,8,19,98,146
3877,0.009537738299793555,34,21,8,21,106,192
3878,0.013699561831891006,34,23,9,20,97,118
3879,0.0072278557959603446,34,22,10,22,107,140
3880,0.01034905742683389,34,22,7,19,117,300
3881,0.03052403390893949,34,19,11,26,162,234
3882,0.012532988752480795,34,21,9,22,94,142
3883,0.021709147999994058,34,24,6,16,84,156
3884,0.01401809376811769,34,26,8,16,70,70
3885,0.018344153786358446,34,24,9,19,108,120
