bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4250,30,11,27,118,208
4251,30,14,30,116,134
4252,27,15,34,180,252
4253,27,15,34,118,148
4254,30,14,30,140,182
4255,28,11,29,110,218
4256,28,13,31,163,252
4257,28,12,30,163,286
4258,32,8,22,100,190
4259,26,14,34,115,180
4260,28,11,29,114,218
4261,31,11,26,98,152
4262,30,12,28,126,186
4263,32,11,25,100,130
4264,30,12,28,116,164
4265,28,13,31,148,190
4266,30,11,27,107,164
4267,30,12,28,140,218
4268,29,11,28,149,250
4269,32,10,24,113,176
4270,31,11,26,107,170
4271,30,11,27,103,146
4272,29,12,29,138,198
4273,31,12,27,117,144
